TIC_ID,Period,Epoch,Class_Label
231663901,1.43036995,2458326.009,3
149603524,4.411937228,2460982.065,3
336732616,3.547854,2458327.253,3
231670397,4.0872956,2460150.609,3
144065872,2.184666919,2460904.413,3
38846515,2.849382726,2460988.068,3
92352620,3.9502008,2460176.993,3
289793076,3.044049456,2458328.085,3
29344935,2.76676001,2458326.127,3
281459670,3.174350424,2458328.04,3
355703913,2.10615688,2458326.105,3
388104525,2.499799598,2460069.774,3
97409519,3.372877,2458327.053,3
25155310,3.288789827,2458327.52,3
281541555,4.742370901,2458329.903,3
238176110,2.798580184,2458326.689,3
322307342,3.5862962,2459063.656,3
266980320,6.03446339,2460899.884,2
278683844,5.541111262,2460987.349,0
278683844,10.69172997,2460979.594,0
394137592,11.535076,2458332.083,2
207081058,14.7741056,2459074.329,4
231702397,5.078032535,2458329.119,2
290131778,3.3088922,2460175.035,2
29831208,1.8428078,2460042.2,4
52368076,4.6517186,2460206.744,2
52368076,9.1549418,2460202.05,2
52368076,19.9815709,2460181.147,2
52368076,,2460188.729,0
70440470,3.035401652,2458326.731,3
234523599,3.795517784,2458325.651,2
391949880,4.9404714,2460175.867,2
201248411,0.980972,2460205.647,2
263003176,14.33921442,2458336.558,2
235037761,6.2407826,2460173.339,4
89020549,2.109680461,2458326.905,2
219338557,8.19953685,2458327.28,0
234994474,1.40151826,2458326.034,2
267263253,4.1269046,2460174.637,2
410153553,0.4629303673,2458325.724,2
176957796,4.8173797,2459199.44,5
277683130,6.1982658,2460175.142,4
62483237,11.07085753,2458334.892,2
140068425,2.281343183,2458327.4,4
403224672,1.0082361,2460178.671,2
425934411,0.8533534004,2458325.486,0
25375553,2.310968898,2460155.871,3
261136679,6.267832,2460011.551,2
265612438,5.13002,2459060.642,0
355636844,6.30556,2459080.903,1
220435095,3.423100173,2460185.366,1
393940766,4.867075805,2459062.261,2
260985861,3.339943176,2458597.94,0
271893367,5.857407538,2459995.646,2
382302241,1.59782,2458326.05,1
403287048,7.00776,2458327.923,1
231081369,7.6316384,2460069.867,4
389525208,6.74657,2458329.361,1
129637892,5.4499753,2460168.814,0
220518305,14.15203772,2460968.409,1
140691463,2.084543418,2458543.338,2
403136413,2.51266,2458326.378,1
394657039,3.7628372,2459382.233,2
253917293,4.608,2458327.376,1
348770361,2.7684331,2459388.787,0
99493790,7.764691,2459078.393,4
179317684,4.231117262,2458544.67,2
79395355,7.31898,2458328.337,1
350743714,7.757643019,2460746.62,1
147203645,5.061131475,2459065.317,0
149990841,4.4531846,2459387.894,0
369457671,2.31446,2458326.493,0
183120439,2.255445922,2459062.718,2
394698182,3.7115129,2459387.009,0
309257814,1.238601035,2458570.408,0
309257814,1.813576726,2458569.773,1
29857954,9.47686,2458326.922,2
270341214,29.75374514,2458333.41,0
270341214,9.170226477,2458329.296,0
425997655,17.66717347,2460957.734,2
425997655,29.79753863,2460932.689,2
425997655,12.16230464,2460987.124,2
425997655,3.9766833,2460203.018,2
425997655,7.907630061,2460987.803,2
307210830,3.690675858,2460688.708,2
307210830,7.4507305,2460039.155,2
307210830,2.253106162,2458354.907,2
272086159,16.155373,2458649.291,1
262530407,2.8531016,2460204.963,2
251848941,6.5578513,2460196.437,2
251848941,20.708504,2458354.552,2
251848941,9.961634689,2458362.954,2
251848941,3.238425315,2458356.108,3
251848941,15.23218428,2458364.915,3
207141131,4.137440333,2460985.999,2
51912829,0.8353898561,2458325.896,4
76923707,4.532050173,2458358.118,2
76989773,1.769170303,2458355.083,4
183979262,3.430756485,2459063.727,1
300871545,4.817068438,2460186.765,1
100100827,0.9414525,2460205.353,3
279741379,35.61338895,2460985.704,2
279741379,7.789788619,2460980.807,2
260304296,0.5125806784,2459962.995,4
280830734,1.161953147,2458325.775,4
278866211,2.194061628,2460876.858,1
166739520,10.02059321,2460982.967,3
183532609,8.1587261,2460202.793,3
183537452,3.922711331,2460929.714,3
183985250,0.7920645022,2460933.176,2
211438925,4.8996461,2460198.832,3
230982885,2.0727598,2458355.49,3
234519192,1.163037176,2458354.304,0
441462736,14.28117313,2460927.616,2
12421862,10.21520251,2458356.372,2
309792357,104.8724252,2460877.951,2
410214986,8.138222177,2458332.308,2
350618622,52.9787392,2460972.003,2
350618622,5.8492379,2460175.602,0
355509914,1.738669451,2458326.11,0
259962054,51.94509,2459106.86,5
281781375,43.82978625,2458328.034,0
281575427,4.252985694,2460929.161,0
55650590,0.7363132199,2458325.543,2
260271203,5.649285344,2458330.097,1
314865962,22.4586196,2458335.989,0
52204645,4.379429779,2458325.885,4
141608198,9.010541367,2459338.993,0
300293197,6.563865142,2460981.057,4
206609630,0.3352715443,2458325.49,4
234345288,23.5199045,2460177.887,0
234345288,7.756553371,2458328.443,0
167415965,18.55368018,2460971.307,0
167415965,9.695984128,2460678.903,0
231912935,26.28514039,2458334.397,0
55652896,34.50593183,2458331.489,2
55652896,17.38904539,2459340.905,2
260043723,3.138585603,2460982.315,1
32090583,0.438481434,2458325.548,0
32090583,8.352214288,2458328.408,0
260609205,4.461775483,2460184.852,1
150098860,10.69530651,2460966.947,2
316937670,0.62425,2458325.343,1
144440290,,2458376.544,1
326453034,14.445918,2458355.958,5
70797900,705.5844658,2458365.844,4
47525799,,2458355.119,0
47484268,,2458358.501,1
2760710,,2458364.102,5
77044471,2.686506386,2458356.1,3
120610833,3.126075096,2458354.774,3
160074939,13.340145,2458366.33,5
204376737,3.361001253,2458357.395,3
402026209,1.338231358,2458355.184,3
415969908,11.67002852,2458365.261,0
415969908,7.201138329,2458359.471,0
12423815,2.839279334,2458356.088,0
280095254,10.09025897,2458357.284,0
9727392,4.534451,2458355.326,1
305048087,5.436166729,2458355.242,2
9006668,1.2730965,2460205.748,2
9725627,4.156783357,2458356.962,3
101948569,19.47230165,2458360.115,0
77031414,1.386651904,2458355.196,3
120585579,6.340315,2458357.778,1
149010208,3.437309256,2458356.618,4
118327550,7.397215984,2458357.365,2
154618248,8.7709021,2460203.439,0
158623531,7.872893679,2458355.732,3
160148385,3.425256313,2458354.32,3
201793781,5.991077254,2460978.929,0
179985715,6.615318752,2458359.542,0
184240683,1.628428833,2458355.509,3
224225541,4.937722732,2458357.305,2
237924601,1.002185252,2460041.402,4
322063810,3.510414839,2458355.623,0
49687222,20.186539,2458360.073,5
204317710,2.812648471,2459090.083,3
92226327,24.73734116,2458399.929,3
92226327,3.777941752,2459141.1,3
200723869,18.38770809,2459121.27,2
350445771,3.190156877,2458326.804,1
12862099,2.423822584,2458386.578,3
37749396,13.47584784,2458392.294,2
63898957,3.363925397,2458383.916,2
63898957,13.03935862,2458389.727,2
70513361,11.14527844,2459136.576,2
120916706,0.5568212477,2460934.124,2
122612091,2.216743559,2460988.072,3
159951311,5.924266132,2459169.575,3
164767175,10.75112478,2460973.355,2
164767175,19.6050966,2460986.18,2
166836920,5.752580381,2460988.126,3
219253008,5.066180251,2460979.011,0
220479565,3.697716709,2458381.846,2
259377017,5.660477325,2460982.005,2
259377017,11.37969912,2460984.247,2
259377017,3.360167055,2460987.858,2
259511357,2.475986984,2460984.491,4
268766053,3.309845755,2459140.876,3
279740441,0.7418594494,2458386.095,1
281979481,0.5417947272,2459362.157,1
373844472,0.9195617,2460041.965,4
382188882,4.800095274,2459328.58,1
439456714,3.993441827,2458385.036,2
244161191,0.2990390327,2458381.911,0
122613513,11.4707838,2459168.43,0
42054565,10.18430614,2458383.489,0
38696105,5.576536357,2458381.883,0
29781292,56.00450565,2460129.286,2
29781292,31.32312,2459044.826,5
29781292,84.26076445,2458355.649,2
29781292,22.89098972,2460954.389,2
382626661,17.61747159,2460940.862,2
277103955,1.3090665,2460206.239,1
220459976,,2458393.996,0
150030205,4.511729451,2460980.715,2
150030205,39.361947,2460155.028,2
2758565,3.781568327,2459089.656,0
47316976,711.7473963,2458364.462,0
201292545,,2458326.646,0
201233610,21.05271,2459097.435,1
49710555,12.08837,2459109.092,1
180285396,10.36887017,2459088.963,0
355637190,0.8054361,2459109.911,4
188570092,7.327945,2459457.974,2
327952677,3.396944098,2459090.144,3
382463648,25.25800746,2459062.764,0
115242351,5.674832673,2459093.605,1
206686292,1.328718233,2459062.562,4
156075294,5.721712381,2459092.787,0
166697854,2.75753,2458354.43,1
144301052,3.744014348,2459090.755,0
229111835,6.70145,2458356.682,0
145750719,3.5608112,2459468.533,3
262530873,2.24172,2458356.286,1
102030574,9.94915,2458364.101,0
114749636,4.602749818,2459089.501,3
9100874,6.166834407,2459091.687,0
281710229,8.3092965,2459108.718,4
228507250,6.157330024,2459092.739,0
175477257,4.269567453,2459090.953,0
434105231,0.7963207413,2459448.318,4
180145006,3.541231037,2459090.6,4
9102327,3.2615,2458354.543,1
316769613,10.18108,2458355.595,0
66356824,3.55562,2459109.392,1
8988289,13.32379,2458365.988,4
402319411,3.32629768,2459090.204,0
206352378,3.74637647,2459065.375,0
389753172,0.7135373,2459086.531,4
188593930,1.46503,2458354.276,1
175476629,1.14057,2458354.272,1
198077394,3.990532998,2459089.946,0
251852984,2.772391543,2458355.575,0
156002449,5.284869067,2459092.325,0
66413476,4.36907,2458357.721,0
144336525,0.2473249752,2459061.897,4
206669860,10.05507639,2459066.817,0
139357541,4.478160334,2459063.354,0
169765334,5.704285814,2459090.797,2
27966179,4.279466895,2459091.764,0
262531275,2.4843369,2459141.055,1
139285832,0.77685,2459062.447,2
224245334,3.785232828,2459089.918,2
233964642,17.9160113,2460188.713,4
41865539,1.26092,2458354.866,1
55452495,17.7082945,2460108.109,1
155986102,6.87168,2458360.617,1
116156517,5.36777,2459108.861,3
69838258,6.73069,2458354.573,1
80439101,14.84997168,2459088.695,0
33911302,1.81383,2458355.751,0
415969574,10.45776,2458362.572,1
66497310,1.756311576,2459089.672,0
13023378,6.067218651,2459092.388,0
308208458,11.22373721,2459091.716,0
118327533,16.56308,2460192.02,0
224271611,4.040002959,2459090.465,0
70785910,0.4947937879,2459088.639,0
382474101,2.6520851,2460184.498,1
199731190,2.5130547,2459109.82,4
228381868,3.465495252,2459091.364,3
47423120,11.6235,2458356.83,4
100099031,1.297992101,2459088.398,0
100097716,3.0002084,2459140.431,4
183593642,1.037258659,2459088.43,4
369336146,5.769437256,2459090.758,0
220016044,0.9399664439,2459088.39,1
321982642,9.10326,2459102.796,0
80432617,16.45209,2458360.674,0
13023738,8.0635,2459104.872,1
144276942,1.535165155,2459062.236,4
305048116,14.23376153,2459090.893,0
262530780,8.22388,2458361.877,4
47425697,0.4941631,2460206.586,0
118586896,12.11028,2459104.699,4
251878904,1.702584822,2459088.314,0
9033144,4.7150255,2460202.579,1
77031413,1.38665,2459110.922,1
175482273,5.4640119,2459108.379,0
251855940,4.046370875,2459090.735,0
156016136,3.481381372,2459088.527,0
441075486,1.1202752,2459112.073,4
9032368,1.632,2458355.679,1
183675732,5.482095362,2459091.225,0
280097543,9.454647777,2458660.208,0
144301273,2.750986328,2459062.452,0
139285736,1.55028,2458326.051,1
20892672,3.10926,2458356.501,1
220396259,0.91677,2458355.626,1
100014359,0.5045539218,2459088.5,0
207084429,4.89577,2458356.071,1
229091748,0.4568,2458354.592,1
167418898,10.9803025,2459367.92,1
155995204,9.30734,2458357.584,1
300810086,0.6680065,2460192.473,1
238059180,5.1119781,2460196.533,0
92359850,4.155,2459167.712,1
422655579,2.903685761,2460985.807,3
271900960,13.45913,2458330.371,1
250386181,1.470258,2459138.723,1
382391899,1.955093156,2459169.669,3
328350926,0.8490673583,2458411.598,4
29960109,2.49221,2458411.669,1
9858404,0.39149,2458411.269,4
38541473,6.06134412,2458415.515,4
178155732,5.973912449,2459120.538,2
178155732,3.58529,2459169.271,2
178155732,11.23046048,2459117.261,2
219379012,1.5464949,2459168.725,1
1129033,1.36002828,2459168.521,3
219388773,1.571681925,2458412.383,1
35857242,3.6344447,2459169.279,3
259701242,2.485488702,2460984.003,1
120896927,4.75599952,2460984.453,2
120896927,17.17966727,2460974.324,2
257567854,3.532822,2458411.902,3
166833457,2.962640198,2459168.639,3
176984236,1.7560902,2459199.326,1
153065527,13.17572943,2458388.567,2
153065527,6.614911016,2458385.388,2
349518800,2.1654694,2460015.729,4
176778112,1.33679,2459169.52,1
167754523,6.7992776,2459193.224,1
206466531,1.42744,2459139.772,1
100990000,9.573078691,2460970.92,2
100990000,4.040300731,2460987.682,2
7624182,1.1096992,2459199.67,1
170634116,3.662391781,2459174.669,3
325680697,1.82488,2459168.843,1
152476657,3.611262058,2459166.483,3
49899799,7.0114,2459163.415,1
339733013,5.62162,2458328.378,1
178284730,2.235986455,2459146.1,3
279251651,0.4038425793,2458654.122,1
408159788,2.300698,2459199.05,1
94986319,16.06752202,2459195.308,2
94986319,5.197685836,2458441.281,2
117979455,0.6333371737,2458438.292,4
43647325,3.161569701,2459176.768,3
117979694,1.9784257,2459199.447,1
169532369,3.60364,2458440.311,1
189013224,1.32050371,2458438.524,0
70914192,0.6090253,2459199.01,4
117979850,0.6333315,2459198.926,4
259592689,,2458439.649,0
459942762,0.58644,2458438.838,1
31374837,12.46100864,2458440.63,2
31374837,0.4900589413,2458438.376,2
38686737,2.24704,2458439.98,1
188989177,1.17409,2458438.299,1
78055054,4.388851647,2459198.52,3
44647437,3.352906982,2458411.845,0
44745077,1.8756,2458411.703,1
32499655,2.743902942,2459197.576,3
468880077,5.812350803,2458441.049,0
13021029,3.855889981,2459175.6,3
143350972,1.0817,2458439.135,1
316916655,2.87436,2458440.194,1
70899085,4.0520368,2459196.115,2
117979897,3.310669201,2459174.841,3
179034327,17.96350827,2458417.605,2
14091704,0.7649571,2459199.549,0
1449640,3.501802294,2458440.432,4
14091633,5.52927431,2459176.319,4
1528696,0.8820624258,2458438.403,2
139528693,2.175172877,2459175.59,3
77951245,10.71486613,2459182.487,4
257605131,16.36487304,2458416.635,2
257605131,1.858662423,2458410.999,2
257605131,9.191079151,2458411.806,2
139733308,4.763395242,2459174.696,3
